customer_id,signup_date,region,age_group,acquisition_channel,loyalty_tier
C00000,2024-09-04,North,18-24,Organic,Silver
C00001,2026-01-16,West,35-44,Email,Bronze
C00002,2025-10-21,Central,35-44,Paid Search,Bronze
C00003,2025-05-16,West,45-54,Email,Gold
C00004,2025-05-12,South,35-44,Social,Silver
C00005,2026-03-18,North,18-24,Paid Search,Bronze
C00006,2024-09-01,Central,25-34,Social,Silver
C00007,2025-11-21,Central,35-44,Organic,Bronze
C00008,2024-11-24,East,55+,Email,Gold
C00009,2024-09-07,West,35-44,Paid Search,Silver
C00010,2025-07-19,East,45-54,Paid Search,Bronze
C00011,2026-06-12,South,45-54,Organic,Bronze
C00012,2025-12-19,North,25-34,Paid Search,Bronze
C00013,2026-01-06,North,55+,Paid Search,Silver
C00014,2025-12-06,South,,Paid Search,Bronze
C00015,2026-01-25,West,55+,Referral,Silver
C00016,2025-07-10,North,45-54,Paid Search,Bronze
C00017,2024-10-02,North,45-54,Organic,Bronze
C00018,2026-03-05,East,18-24,Social,Bronze
C00019,2025-05-25,North,35-44,Paid Search,Bronze
C00020,2025-06-30,North,18-24,Social,Bronze
C00021,2025-03-28,East,45-54,Email,Silver
C00022,2024-11-11,South,45-54,Organic,Gold
C00023,2026-05-07,East,35-44,Social,Bronze
C00024,2026-01-21,Central,25-34,Organic,Silver
C00025,2025-10-13,North,18-24,Organic,Bronze
C00026,2025-04-20,Central,45-54,Organic,Silver
C00027,2026-02-20,Central,45-54,Organic,Bronze
C00028,2025-08-02,West,35-44,Paid Search,Silver
C00029,2025-05-20,West,45-54,Referral,Bronze
C00030,2025-05-25,East,45-54,Referral,Bronze
C00031,2024-12-13,West,35-44,Organic,Silver
C00032,2024-09-06,West,18-24,Referral,Bronze
C00033,2025-08-09,North,55+,Email,Bronze
C00034,2026-04-09,Central,35-44,Social,Bronze
C00035,2024-08-16,East,45-54,Email,Gold
C00036,2026-03-18,West,55+,Social,Bronze
C00037,2026-02-24,South,25-34,Paid Search,Bronze
C00038,2025-01-18,North,45-54,Social,Gold
C00039,2025-10-04,East,18-24,Email,Silver
C00040,2024-10-29,East,55+,Email,Bronze
C00041,2026-01-04,East,18-24,Organic,Silver
C00042,2025-11-23,South,35-44,Referral,Bronze
C00043,2025-03-16,South,25-34,Paid Search,Bronze
C00044,2024-08-19,East,18-24,Referral,Bronze
C00045,2026-06-08,South,35-44,Paid Search,Silver
C00046,2025-05-21,Central,55+,Organic,Gold
C00047,2026-04-13,North,18-24,Referral,Bronze
C00048,2025-11-07,South,25-34,Social,Bronze
C00049,2026-01-19,South,18-24,Paid Search,Bronze
C00050,2026-01-05,East,18-24,Organic,Bronze
C00051,2024-11-19,East,25-34,Organic,Bronze
C00052,2025-03-23,West,35-44,Organic,Silver
C00053,2025-06-06,Central,45-54,Referral,Bronze
C00054,2025-06-28,South,45-54,Organic,Gold
C00055,2024-08-01,West,45-54,Organic,Bronze
C00056,2025-08-03,North,45-54,Referral,Bronze
C00057,2024-10-21,South,25-34,Referral,Bronze
C00058,2025-12-24,East,55+,Paid Search,Silver
C00059,2025-11-10,North,18-24,Email,Bronze
C00060,2026-05-04,East,45-54,Social,Bronze
C00061,2025-12-25,West,18-24,Social,Bronze
C00062,2025-03-25,West,45-54,Paid Search,Silver
C00063,2026-06-06,East,18-24,Email,Gold
C00064,2025-04-26,East,25-34,Referral,Bronze
C00065,2025-02-23,South,25-34,Email,Bronze
C00066,2026-04-22,North,45-54,Referral,Bronze
C00067,2025-03-28,North,18-24,Organic,Bronze
C00068,2024-08-25,West,25-34,Email,Platinum
C00069,2025-06-08,Central,25-34,Referral,Bronze
C00070,2026-02-01,North,45-54,Social,Silver
C00071,2024-11-16,East,55+,Referral,Gold
C00072,2025-06-03,West,45-54,Paid Search,Silver
C00073,2024-10-03,West,35-44,Referral,Bronze
C00074,2025-11-13,East,25-34,Referral,Silver
C00075,2025-06-12,East,55+,Email,Bronze
C00076,2025-02-26,West,18-24,Email,Bronze
C00077,2024-12-13,West,18-24,Social,Platinum
C00078,2025-08-16,North,25-34,Paid Search,Bronze
C00079,2025-11-01,Central,25-34,Social,Bronze
C00080,2026-05-17,North,35-44,Referral,Bronze
C00081,2025-05-15,West,55+,Organic,Bronze
C00082,2024-10-26,North,45-54,Paid Search,Silver
C00083,2026-02-28,North,25-34,Social,Silver
C00084,2025-10-03,North,25-34,Paid Search,Silver
C00085,2025-11-23,East,45-54,Email,Bronze
C00086,2024-09-09,South,25-34,Paid Search,Bronze
C00087,2025-02-13,North,55+,Email,Bronze
C00088,2026-01-11,East,35-44,Organic,Bronze
C00089,2026-02-27,South,35-44,Paid Search,Silver
C00090,2025-05-14,West,55+,Email,Silver
C00091,2026-02-07,Central,25-34,Social,Gold
C00092,2026-03-06,West,35-44,Email,Silver
C00093,2025-04-09,North,35-44,Email,Bronze
C00094,2026-04-16,South,25-34,Paid Search,Silver
C00095,2025-01-27,Central,18-24,Social,Silver
C00096,2024-12-22,North,25-34,Referral,Gold
C00097,2025-11-10,South,18-24,Referral,Bronze
C00098,2025-10-08,Central,45-54,Organic,Silver
C00099,2024-10-10,Central,18-24,Email,Bronze
C00100,2026-02-28,South,,Social,Silver
C00101,2024-11-23,West,55+,Organic,Gold
C00102,2026-02-07,East,35-44,Email,Gold
C00103,2024-07-06,West,45-54,Organic,Bronze
C00104,2026-02-01,North,45-54,Paid Search,Bronze
C00105,2026-01-25,North,25-34,Email,Silver
C00106,2026-01-20,East,45-54,Referral,Silver
C00107,2025-10-28,South,25-34,Social,Gold
C00108,2025-06-09,West,45-54,Referral,Bronze
C00109,2025-11-27,South,45-54,Referral,Gold
C00110,2025-01-19,Central,55+,Social,Silver
C00111,2026-01-21,West,55+,Organic,Bronze
C00112,2025-08-10,East,18-24,Email,Bronze
C00113,2025-05-31,West,25-34,Organic,Silver
C00114,2025-07-04,South,35-44,Referral,Bronze
C00115,2025-08-19,East,25-34,Paid Search,Silver
C00116,2024-07-28,North,45-54,Email,Silver
C00117,2024-10-10,West,55+,Email,Bronze
C00118,2024-12-26,West,25-34,Social,Bronze
C00119,2024-09-22,Central,55+,Referral,Platinum
C00120,2025-05-17,West,55+,Email,Silver
C00121,2025-10-31,Central,55+,Referral,Silver
C00122,2025-10-21,North,18-24,Organic,Silver
C00123,2025-06-09,Central,25-34,Social,Silver
C00124,2026-03-16,East,18-24,Referral,Gold
C00125,2025-08-17,East,18-24,Referral,Silver
C00126,2024-08-27,East,18-24,Social,Bronze
C00127,2026-01-09,South,35-44,Organic,Bronze
C00128,2025-08-23,South,18-24,Paid Search,Bronze
C00129,2025-10-06,South,25-34,Social,Silver
C00130,2025-08-17,North,55+,Email,Bronze
C00131,2025-08-08,East,55+,Referral,Silver
C00132,2024-09-05,Central,55+,Organic,Gold
C00133,2025-08-12,West,18-24,Paid Search,Bronze
C00134,2026-01-31,East,45-54,Paid Search,Bronze
C00135,2025-02-07,East,45-54,Referral,Silver
C00136,2025-09-13,East,18-24,Organic,Bronze
C00137,2024-07-23,North,55+,Paid Search,Silver
C00138,2025-03-11,West,35-44,Paid Search,Bronze
C00139,2025-05-15,North,55+,Organic,Bronze
C00140,2026-06-17,West,18-24,Email,Silver
C00141,2024-12-04,West,45-54,Social,Bronze
C00142,2025-01-18,East,18-24,Social,Bronze
C00143,2025-04-24,West,55+,Referral,Bronze
C00144,2026-06-24,South,45-54,Social,Bronze
C00145,2026-03-15,Central,18-24,Paid Search,Gold
C00146,2024-07-26,West,25-34,Paid Search,Bronze
C00147,2024-12-18,West,25-34,Referral,Bronze
C00148,2026-02-20,West,18-24,Social,Bronze
C00149,2024-08-12,West,18-24,Organic,Bronze
