order_item_id,order_id,product_id,quantity,unit_price,discount_amount
I0000000,O016946,P0431,2,325.36,8
I0000001,O003067,P0381,1,356.9,8
I0000002,O002852,P0361,2,333.06,8
I0000003,O017601,P0349,1,182.88,0
I0000004,O007970,P0211,1,209.34,3
I0000005,O000898,P0127,1,225.4,3
I0000006,O002311,P0108,1,66.61,3
I0000007,O011327,P0017,3,216.64,0
I0000008,O006671,P0288,1,323.61,15
I0000009,O001311,P0331,1,373.2,0
I0000010,O013120,P0274,1,267.39,0
I0000011,O003163,P0345,1,45.3,3
I0000012,O003584,P0058,1,206.4,0
I0000013,O007481,P0338,1,97.38,3
I0000014,O013192,P0303,1,337.24,0
I0000015,O009515,P0393,1,149.56,0
I0000016,O011496,P0094,1,355.34,0
I0000017,O013386,P0444,1,240.01,0
I0000018,O006375,P0499,1,179.59,0
I0000019,O019980,P0095,1,138.02,0
I0000020,O006523,P0353,1,323.12,0
I0000021,O016165,P0049,2,172.56,3
I0000022,O016999,P0323,1,330.07,0
I0000023,O014207,P0117,1,256.3,3
I0000024,O006601,P0474,1,106.82,8
I0000025,O002105,P0459,1,385.86,0
I0000026,O009732,P0386,1,384.56,3
I0000027,O018704,P0461,1,222.63,0
I0000028,O017652,P0229,1,65.45,0
I0000029,O006393,P0449,1,207.8,0
I0000030,O004797,P0279,1,151.48,3
I0000031,O005620,P0415,2,246.35,0
I0000032,O002590,P0131,2,76.45,0
I0000033,O010979,P0222,4,409.67,0
I0000034,O003656,P0180,1,309.09,0
I0000035,O003414,P0065,2,336.07,0
I0000036,O005183,P0156,3,186.87,8
I0000037,O006426,P0011,1,368.06,0
I0000038,O003978,P0439,3,187.74,3
I0000039,O001221,P0130,1,100.28,0
I0000040,O017654,P0126,1,328.46,0
I0000041,O016976,P0311,1,354.81,0
I0000042,O016807,P0054,2,361.07,3
I0000043,O011968,P0300,1,327.96,8
I0000044,O015455,P0327,1,111.98,3
I0000045,O007282,P0358,1,469.38,8
I0000046,O002571,P0189,1,173.89,0
I0000047,O015123,P0050,2,354.55,3
I0000048,O008224,P0085,2,234.32,0
I0000049,O017311,P0334,2,216.0,0
I0000050,O016027,P0442,1,324.56,15
I0000051,O007768,P0265,1,367.63,8
I0000052,O017438,P0136,1,457.12,8
I0000053,O005151,P0416,1,218.0,0
I0000054,O006241,P0290,1,348.57,0
I0000055,O011628,P0392,1,341.55,3
I0000056,O017865,P0474,1,106.82,8
I0000057,O015255,P0473,1,405.32,3
I0000058,O003526,P0196,2,241.37,0
I0000059,O015257,P0323,3,330.07,0
I0000060,O007716,P0274,1,267.39,3
I0000061,O009696,P0093,1,292.55,0
I0000062,O005770,P0351,4,148.11,0
I0000063,O017060,P0148,1,434.8,0
I0000064,O011890,P0010,1,335.89,3
I0000065,O000288,P0459,1,385.86,0
I0000066,O010095,P0063,2,109.15,0
I0000067,O003818,P0088,3,390.32,0
I0000068,O017984,P0130,1,100.28,0
I0000069,O019416,P0304,4,409.34,3
I0000070,O000137,P0089,2,239.92,0
I0000071,O010771,P0478,2,241.63,0
I0000072,O013617,P0083,2,468.3,3
I0000073,O004319,P0013,1,227.37,3
I0000074,O011877,P0062,1,292.26,0
I0000075,O015493,P0083,1,468.3,0
I0000076,O002262,P0083,1,468.3,0
I0000077,O010367,P0197,1,122.9,0
I0000078,O004456,P0307,2,118.43,0
I0000079,O000632,P0479,2,322.02,0
I0000080,O000686,P0378,1,220.51,0
I0000081,O003436,P0087,2,336.76,15
I0000082,O012824,P0146,2,235.71,3
I0000083,O004983,P0136,1,457.12,0
I0000084,O003475,P0011,1,368.06,8
I0000085,O009324,P0147,1,225.98,0
I0000086,O002453,P0007,1,259.81,0
I0000087,O015893,P0345,2,45.3,0
I0000088,O015546,P0417,3,419.39,3
I0000089,O008378,P0098,1,66.95,3
I0000090,O012158,P0056,2,296.98,0
I0000091,O007796,P0183,1,287.74,0
I0000092,O007544,P0089,1,239.92,3
I0000093,O018123,P0443,1,232.71,8
I0000094,O018298,P0232,1,222.63,3
I0000095,O008242,P0036,2,222.41,0
I0000096,O016155,P0298,1,163.52,0
I0000097,O013064,P0080,1,155.59,0
I0000098,O001364,P0268,1,318.21,0
I0000099,O017070,P0113,1,289.96,0
I0000100,O011006,P0413,1,323.45,0
I0000101,O013067,P0040,3,239.08,3
I0000102,O013317,P0369,1,391.96,8
I0000103,O017282,P0286,1,155.26,0
I0000104,O013186,P0148,2,434.8,0
I0000105,O018693,P0285,1,43.59,3
I0000106,O009299,P0346,1,97.24,0
I0000107,O002291,P0087,1,336.76,8
I0000108,O009093,P0331,1,373.2,0
I0000109,O007384,P0365,1,164.36,8
I0000110,O016677,P0044,1,469.56,15
I0000111,O012436,P0483,1,443.69,0
I0000112,O013928,P0093,1,292.55,0
I0000113,O013324,P0021,2,475.56,0
I0000114,O019229,P0063,1,109.15,0
I0000115,O010133,P0371,1,393.61,0
I0000116,O019241,P0088,1,390.32,0
I0000117,O017258,P0330,1,201.31,3
I0000118,O019093,P0323,4,330.07,8
I0000119,O012382,P0119,3,174.7,8
I0000120,O001564,P0235,2,175.5,3
I0000121,O018941,P0022,1,148.35,3
I0000122,O005540,P0263,1,119.43,3
I0000123,O005418,P0339,1,86.65,3
I0000124,O004381,P0417,1,419.39,0
I0000125,O017884,P0322,1,206.72,15
I0000126,O004850,P0029,2,135.48,3
I0000127,O002253,P0031,2,201.39,0
I0000128,O006227,P0195,3,187.27,0
I0000129,O019334,P0235,1,175.5,8
I0000130,O015343,P0229,1,65.45,0
I0000131,O016968,P0465,2,429.28,3
I0000132,O007577,P0174,2,324.36,0
I0000133,O004114,P0036,1,222.41,3
I0000134,O003434,P0468,1,96.27,3
I0000135,O009862,P0142,2,216.88,0
I0000136,O013559,P0362,1,203.65,15
I0000137,O010036,P0135,1,139.13,0
I0000138,O001018,P0208,1,399.94,0
I0000139,O014168,P0016,2,188.45,8
I0000140,O000846,P0414,1,181.23,0
I0000141,O014770,P0126,3,328.46,0
I0000142,O009924,P0418,2,292.43,0
I0000143,O002569,P0336,1,54.6,0
I0000144,O016985,P0085,2,234.32,0
I0000145,O004972,P0393,1,149.56,0
I0000146,O016425,P0190,1,478.62,0
I0000147,O002148,P0268,1,318.21,0
I0000148,O010695,P0368,1,257.9,0
I0000149,O002457,P0473,1,405.32,0
I0000150,O011751,P0185,1,297.98,0
I0000151,O013079,P0324,1,281.09,0
I0000152,O016279,P0185,1,297.98,0
I0000153,O009379,P0407,1,163.94,0
I0000154,O001878,P0132,1,158.16,0
I0000155,O011126,P0419,3,270.0,0
I0000156,O011119,P0285,1,43.59,3
I0000157,O015469,P0062,1,292.26,0
I0000158,O003718,P0048,1,392.09,0
I0000159,O007393,P0282,1,55.45,3
I0000160,O014491,P0082,2,175.26,0
I0000161,O015557,P0120,1,325.98,15
I0000162,O014202,P0036,1,222.41,0
I0000163,O007233,P0480,1,431.95,0
I0000164,O019734,P0427,2,103.26,0
I0000165,O018668,P0352,2,90.81,0
I0000166,O014811,P0178,1,255.08,0
I0000167,O017674,P0158,1,170.81,3
I0000168,O013279,P0422,1,209.48,8
I0000169,O013374,P0270,2,200.75,15
I0000170,O019074,P0144,1,176.32,0
I0000171,O019770,P0303,1,337.24,0
I0000172,O009687,P0318,2,391.58,0
I0000173,O018316,P0263,1,119.43,0
I0000174,O014406,P0444,1,240.01,0
I0000175,O014133,P0465,1,429.28,0
I0000176,O017069,P0363,1,427.8,15
I0000177,O006692,P0479,2,322.02,0
I0000178,O009515,P0266,3,345.73,0
I0000179,O005317,P0311,1,354.81,0
I0000180,O008801,P0425,1,23.03,0
I0000181,O011124,P0281,1,437.46,0
I0000182,O005063,P0425,1,23.03,0
I0000183,O009860,P0476,3,341.63,15
I0000184,O004439,P0048,1,392.09,0
I0000185,O009558,P0337,1,199.74,0
I0000186,O013558,P0122,1,463.36,0
I0000187,O012448,P0285,3,43.59,8
I0000188,O005134,P0259,1,461.3,0
I0000189,O008282,P0233,1,331.25,8
I0000190,O012439,P0454,1,60.55,3
I0000191,O013242,P0013,1,227.37,3
I0000192,O013340,P0407,1,163.94,0
I0000193,O003942,P0075,2,318.63,0
