order_id,customer_id,order_date,order_status,payment_method,discount_amount,shipping_amount,total_amount,region
O000000,C03194,2024-07-01,completed,Wallet,35,4.99,276.02,north
O000001,C00733,2024-07-09,completed,COD,0,0.0,18.64,north
O000002,C04133,2025-09-13,completed,Wallet,0,0.0,151.47,north
O000003,C04216,2026-06-17,completed,COD,0,12.99,103.61,north
O000004,C04248,2025-10-10,completed,Card,10,0.0,81.19,north
O000005,C02947,2026-05-19,completed,Bank Transfer,5,8.99,70.37,Central
O000006,C04652,2026-03-10,completed,Wallet,0,0.0,161.53,North
O000007,C02240,2025-01-22,completed,COD,10,12.99,56.72,East
O000008,C01806,2024-09-13,shipped,Wallet,20,4.99,73.47,South
O000009,C02063,2025-08-12,completed,Wallet,5,4.99,152.24,West
O000010,C01275,2025-09-26,completed,Bank Transfer,0,8.99,217.72,Central
O000011,C00506,2026-01-13,completed,Bank Transfer,10,0.0,95.21,West
O000012,C02369,2025-07-15,completed,Bank Transfer,10,0.0,283.39,North
O000013,C03234,2026-05-03,completed,COD,20,4.99,118.61,North
O000014,C03904,2026-03-08,completed,Bank Transfer,0,0.0,110.44,West
O000015,C02604,2025-09-01,completed,Card,0,0.0,512.05,East
O000016,C04937,2025-08-06,completed,COD,5,12.99,137.03,East
O000017,C04806,2024-07-14,shipped,Bank Transfer,5,4.99,353.12,North
O000018,C00751,2026-01-21,shipped,Card,5,8.99,484.47,North
O000019,C03375,2025-11-09,completed,Wallet,10,0.0,48.18,Central
O000020,C03188,2026-04-15,completed,Card,5,8.99,55.95,South
O000021,C04828,2024-09-06,completed,Bank Transfer,20,0.0,23.02,South
O000022,C04184,2024-10-15,completed,Bank Transfer,0,12.99,169.87,South
O000023,C00699,2025-11-02,completed,COD,0,8.99,209.41,South
O000024,C01044,2025-06-22,completed,Bank Transfer,0,4.99,67.01,Central
O000025,C03412,2025-09-02,completed,COD,10,12.99,10.27,North
O000026,C01298,2025-05-13,cancelled,COD,10,12.99,141.9,South
O000027,C04071,2025-10-11,completed,Wallet,20,8.99,25.3,North
O000028,C02753,2025-10-24,completed,Wallet,10,8.99,89.59,East
O000029,C03055,2024-11-15,completed,Bank Transfer,5,8.99,215.31,North
O000030,C04259,2026-01-06,completed,Card,10,4.99,116.33,South
O000031,C03074,2025-06-25,completed,Bank Transfer,0,8.99,216.47,Central
O000032,C02999,2025-08-24,completed,Card,0,4.99,85.62,North
O000033,C00778,2025-09-24,completed,Card,20,12.99,58.18,East
O000034,C04284,2025-12-25,completed,COD,0,4.99,59.83,North
O000035,C01606,2025-02-04,completed,Wallet,0,8.99,173.21,North
O000036,C01397,2024-07-05,cancelled,Bank Transfer,0,0.0,98.24,North
O000037,C03162,2024-11-10,completed,Card,0,4.99,67.97,Central
O000038,C00656,2026-06-05,completed,Wallet,0,8.99,137.09,South
O000039,C02365,2024-12-10,completed,Wallet,10,12.99,25.46,West
O000040,C03281,2024-12-29,completed,COD,0,12.99,133.21,South
O000041,C04315,2026-03-18,completed,Wallet,0,8.99,127.69,North
O000042,C01126,2024-12-19,completed,Bank Transfer,0,0.0,171.47,North
O000043,C03886,2025-06-04,completed,Bank Transfer,5,12.99,284.62,West
O000044,C04005,2025-03-28,completed,Card,35,8.99,82.0,South
O000045,C02674,2025-10-25,shipped,Wallet,0,8.99,129.07,South
O000046,C04379,2025-09-07,shipped,Bank Transfer,5,8.99,144.48,West
O000047,C03059,2025-07-11,completed,Wallet,5,8.99,99.16,North
O000048,C01387,2025-07-01,completed,COD,5,8.99,35.57,South
O000049,C03281,2026-03-01,completed,Wallet,10,8.99,184.87,West
O000050,C03098,2025-08-28,completed,Wallet,0,12.99,10.08,East
O000051,C03276,2025-07-06,completed,Card,0,8.99,37.74,North
O000052,C00798,2026-04-08,completed,Bank Transfer,5,12.99,80.17,West
O000053,C03480,2024-09-07,completed,Bank Transfer,20,0.0,37.63,South
O000054,C04280,2026-02-28,completed,Wallet,5,4.99,108.9,South
O000055,C02485,2024-11-22,completed,Bank Transfer,5,8.99,281.83,West
O000056,C02539,2025-02-27,completed,COD,0,4.99,361.57,East
O000057,C00619,2024-07-10,completed,Wallet,35,4.99,100.57,West
O000058,C01619,2025-08-21,completed,Card,5,4.99,136.38,East
O000059,C04775,2026-02-27,completed,Card,35,12.99,108.45,East
O000060,C04565,2025-04-05,completed,Bank Transfer,5,0.0,96.38,South
O000061,C00082,2025-10-27,completed,COD,35,8.99,96.82,South
O000062,C03313,2025-04-13,completed,Bank Transfer,5,4.99,318.43,South
O000063,C00082,2026-01-05,completed,Bank Transfer,0,0.0,13.27,East
O000064,C03360,2026-06-29,completed,Card,0,0.0,195.85,East
O000065,C04692,2025-12-04,completed,Bank Transfer,0,8.99,61.97,North
O000066,C02923,2025-03-06,completed,Bank Transfer,20,8.99,87.09,North
O000067,C02471,2026-02-22,completed,COD,20,4.99,35.99,North
O000068,C01280,2024-07-28,completed,Wallet,20,12.99,33.24,West
O000069,C04087,2026-06-20,completed,COD,0,0.0,217.26,East
O000070,C04576,2026-03-05,completed,Card,10,8.99,60.83,North
O000071,C01928,2025-10-20,cancelled,COD,5,4.99,105.79,East
O000072,C03432,2025-09-26,completed,Bank Transfer,0,12.99,149.26,West
O000073,C02154,2024-12-31,completed,COD,5,12.99,346.45,East
O000074,C01163,2025-05-11,completed,Bank Transfer,0,0.0,34.38,North
O000075,C03526,2024-09-12,completed,Bank Transfer,10,8.99,296.51,South
O000076,C02937,2025-03-04,shipped,COD,10,8.99,125.46,Central
O000077,C02544,2025-09-03,completed,COD,10,8.99,121.47,Central
O000078,C04016,2025-03-22,shipped,COD,0,4.99,81.34,North
O000079,C04503,2026-01-13,shipped,COD,0,0.0,71.77,East
O000080,C01356,2026-03-14,shipped,COD,10,4.99,21.95,East
O000081,C03457,2025-08-14,completed,Bank Transfer,0,12.99,242.97,North
O000082,C02205,2025-03-06,completed,Card,0,12.99,31.65,North
O000083,C02636,2025-02-07,completed,Wallet,10,0.0,64.44,South
O000084,C01561,2025-08-03,completed,Bank Transfer,0,0.0,217.7,East
O000085,C04148,2025-12-07,completed,COD,5,0.0,115.98,East
O000086,C00030,2024-10-01,completed,Wallet,0,0.0,39.88,South
O000087,C02724,2025-05-23,completed,COD,0,4.99,186.91,Central
O000088,C02344,2025-05-18,completed,Bank Transfer,5,4.99,72.3,North
O000089,C01498,2025-01-25,completed,COD,20,12.99,63.61,West
O000090,C01691,2024-12-21,completed,Bank Transfer,0,12.99,40.19,West
O000091,C00601,2026-03-06,completed,Bank Transfer,5,8.99,68.29,West
O000092,C00849,2025-05-12,shipped,COD,0,4.99,79.62,East
O000093,C01752,2025-08-25,completed,Bank Transfer,5,0.0,147.04,Central
O000094,C00542,2024-07-28,completed,COD,5,4.99,54.76,South
O000095,C03172,2025-01-23,completed,Wallet,5,12.99,247.78,West
O000096,C02809,2024-12-11,completed,Card,20,8.99,270.55,West
O000097,C04908,2025-02-25,completed,Card,10,8.99,221.74,North
O000098,C04554,2026-03-06,completed,Bank Transfer,10,0.0,118.92,North
O000099,C03727,2025-08-21,completed,Card,35,0.0,178.43,North
O000100,C02553,2026-04-19,completed,Wallet,10,12.99,167.2,East
O000101,C03094,2025-05-05,completed,Card,35,0.0,205.68,North
O000102,C00411,2026-01-13,completed,Bank Transfer,10,8.99,219.0,East
O000103,C01011,2024-10-26,completed,Card,20,12.99,172.27,East
O000104,C03617,2026-02-15,completed,Bank Transfer,0,12.99,174.79,East
O000105,C03534,2025-09-19,completed,Bank Transfer,0,12.99,163.81,West
O000106,C00087,2024-07-29,completed,COD,10,8.99,175.04,West
O000107,C02614,2025-11-15,completed,COD,0,8.99,135.44,East
O000108,C01556,2025-06-15,completed,Wallet,0,12.99,65.01,West
O000109,C03694,2024-07-01,shipped,Wallet,5,12.99,41.33,West
O000110,C03101,2026-03-10,completed,Bank Transfer,0,0.0,32.58,East
O000111,C01827,2025-07-27,completed,Bank Transfer,10,0.0,44.75,South
O000112,C04597,2025-09-16,completed,Bank Transfer,0,4.99,210.2,South
O000113,C02390,2025-08-25,completed,Wallet,0,8.99,271.87,North
O000114,C01554,2024-09-05,completed,Bank Transfer,0,4.99,169.3,West
O000115,C02630,2025-02-28,completed,Card,35,12.99,127.36,South
O000116,C04549,2025-11-24,completed,Card,0,0.0,58.806000000000004,Central
O000117,C01810,2025-03-04,shipped,Wallet,0,12.99,97.16,North
O000118,C01230,2026-04-09,completed,COD,0,12.99,62.12,East
O000119,C02893,2025-02-17,completed,Wallet,20,12.99,62.11,West
O000120,C01377,2025-06-01,completed,COD,0,4.99,116.12,North
O000121,C01381,2025-05-21,completed,Wallet,20,4.99,168.5,North
O000122,C02873,2024-07-14,shipped,Card,0,8.99,107.72,North
O000123,C00381,2026-02-12,completed,Wallet,0,8.99,404.54,West
O000124,C04542,2024-10-07,completed,Wallet,0,0.0,124.62,South
O000125,C00891,2025-06-07,completed,Card,0,0.0,18.57,West
O000126,C03480,2026-04-23,completed,Wallet,20,0.0,319.94,South
O000127,C02470,2026-06-25,cancelled,Bank Transfer,0,4.99,103.36,North
O000128,C01361,2024-12-15,cancelled,Card,5,8.99,330.28,East
O000129,C00335,2025-04-01,completed,COD,0,4.99,31.77,South
O000130,C01351,2025-08-17,shipped,Card,0,4.99,54.32,East
O000131,C01933,2025-11-22,completed,COD,5,0.0,53.83,South
O000132,C00557,2024-12-30,completed,Card,0,12.99,251.89,West
O000133,C03378,2025-08-05,completed,Wallet,20,4.99,242.06,North
O000134,C03503,2026-03-01,completed,Wallet,5,0.0,153.82,North
O000135,C02560,2026-01-07,completed,Wallet,0,8.99,131.7,North
O000136,C00935,2026-02-20,completed,Bank Transfer,0,8.99,20.48,East
O000137,C02767,2026-04-09,shipped,Wallet,0,8.99,59.25,West
O000138,C03874,2026-03-20,completed,Card,0,4.99,66.56,West
O000139,C03622,2025-07-09,completed,Card,0,8.99,26.08,East
O000140,C01842,2026-06-11,completed,COD,5,8.99,99.55,South
O000141,C00604,2025-06-26,completed,Bank Transfer,5,8.99,156.57,West
O000142,C02312,2025-11-30,completed,COD,0,8.99,514.624,West
O000143,C01319,2026-05-19,completed,Card,5,8.99,164.23,North
O000144,C03858,2024-08-01,shipped,Bank Transfer,20,4.99,85.24,Central
O000145,C02112,2026-05-12,completed,Wallet,5,4.99,70.54,North
O000146,C03471,2026-02-20,completed,COD,5,12.99,89.32,South
O000147,C01340,2026-06-27,completed,Bank Transfer,0,8.99,97.5,South
O000148,C01043,2026-01-15,shipped,Card,5,12.99,42.41,East
O000149,C02194,2024-10-23,completed,Bank Transfer,20,12.99,73.67,West
O000150,C03730,2025-02-06,completed,Bank Transfer,10,4.99,63.64,North
O000151,C04468,2024-07-03,shipped,COD,5,8.99,294.96,South
O000152,C04356,2025-09-17,completed,COD,5,0.0,203.08,West
