product_id,product_name,category,subcategory,unit_cost,list_price,launch_date
P0000,Asteria Electronics 1,Electronics,Portable,85.34,134.63,2022-09-01
P0001,Asteria Home 2,Home,Premium,64.13,97.85,2023-10-06
P0002,Asteria Fitness 3,Fitness,Accessories,170.53,266.8,2024-02-24
P0003,Asteria Beauty 4,Beauty,Portable,48.5,108.11,2022-08-24
P0004,Asteria Office 5,Office,Essentials,76.04,418.64,2023-09-24
P0005,Asteria Outdoors 6,Outdoors,Essentials,140.97,176.21,2022-06-27
P0006,Asteria Electronics 7,Electronics,Portable,68.12,241.76,2024-04-05
P0007,Asteria Home 8,Home,Accessories,160.04,259.81,2024-06-14
P0008,Asteria Fitness 9,Fitness,Accessories,46.78,155.98,2022-06-25
P0009,Asteria Beauty 10,Beauty,Premium,9.52,357.58,2024-04-14
P0010,Asteria Office 11,Office,Portable,114.66,335.89,2024-06-25
P0011,Asteria Outdoors 12,Outdoors,Accessories,93.45,368.06,2023-02-03
P0012,Asteria Electronics 13,Electronics,Premium,168.22,295.57,2023-10-22
P0013,Asteria Home 14,Home,Accessories,78.47,227.37,2023-06-10
P0014,Asteria Fitness 15,Fitness,Essentials,27.86,222.09,2023-08-10
P0015,Asteria Beauty 16,Beauty,Essentials,62.04,347.34,2023-11-07
P0016,Asteria Office 17,Office,Essentials,73.21,188.45,2023-06-13
P0017,Asteria Outdoors 18,Outdoors,Portable,106.63,216.64,2023-12-07
P0018,Asteria Electronics 19,Electronics,Accessories,52.31,88.6,2024-01-04
P0019,Asteria Home 20,Home,Essentials,100.86,330.07,2024-01-04
P0020,Asteria Fitness 21,Fitness,Portable,163.82,204.77,2024-03-29
P0021,Asteria Beauty 22,Beauty,Portable,78.58,475.56,2023-05-08
P0022,Asteria Office 23,Office,Premium,118.68,148.35,2023-04-20
P0023,Asteria Outdoors 24,Outdoors,Essentials,44.29,191.23,2024-06-18
P0024,Asteria Electronics 25,Electronics,Premium,145.03,181.29,2023-06-30
P0025,Asteria Home 26,Home,Accessories,51.46,148.03,2022-11-18
P0026,Asteria Fitness 27,Fitness,Accessories,106.05,162.91,2024-06-30
P0027,Asteria Beauty 28,Beauty,Premium,56.84,348.18,2023-11-04
P0028,Asteria Office 29,Office,Essentials,15.86,94.72,2022-05-25
P0029,Asteria Outdoors 30,Outdoors,Accessories,60.26,135.48,2023-07-26
P0030,Asteria Electronics 31,Electronics,Accessories,41.32,59.36,2024-06-18
P0031,Asteria Home 32,Home,Premium,161.11,201.39,2023-05-07
P0032,Asteria Fitness 33,Fitness,Accessories,50.84,452.5,2023-08-08
P0033,Asteria Beauty 34,Beauty,Accessories,175.5,219.38,2024-01-14
P0034,Asteria Office 35,Office,Accessories,90.65,375.79,2024-05-04
P0035,Asteria Outdoors 36,Outdoors,Essentials,42.91,228.08,2022-07-26
P0036,Asteria Electronics 37,Electronics,Premium,72.88,222.41,2022-09-20
P0037,Asteria Home 38,Home,Premium,36.28,397.62,2023-01-03
P0038,Asteria Fitness 39,Fitness,Portable,150.73,188.41,2024-06-17
