return_id,order_id,product_id,return_date,reason,refund_amount
R00000,O004734,P0079,2024-08-19,Not as described,45.63
R00001,O008101,P0149,2025-04-30,Late delivery,92.94
R00002,O005453,P0166,2026-04-13,Damaged,157.86
R00003,O001661,P0311,2025-10-31,Wrong size,85.0
R00004,O004428,P0194,2024-12-27,Changed mind,42.23
R00005,O004120,P0329,2025-09-06,Late delivery,135.47
R00006,O005713,P0425,2026-05-18,Not as described,47.06
R00007,O003397,P0257,2026-06-02,Late delivery,102.53
R00008,O007496,P0490,2024-09-10,Late delivery,30.88
R00009,O017125,P0481,2025-10-22,Damaged,157.17
R00010,O017710,P0200,2025-09-06,Wrong size,12.44
R00011,O013505,P0356,2025-09-30,Damaged,55.65
R00012,O002195,P0265,2025-02-12,Wrong size,170.71
R00013,O018282,P0001,2026-02-02,Changed mind,67.32
R00014,O011770,P0116,2026-04-15,Late delivery,51.26
R00015,O000263,P0038,2026-03-26,Late delivery,42.39
R00016,O000515,P0141,2025-07-31,Wrong size,21.82
R00017,O017909,P0049,2025-02-26,Not as described,55.64
R00018,O012070,P0340,2025-08-02,Wrong size,30.99
R00019,O016633,P0091,2025-07-27,Late delivery,25.25
R00020,O018471,P0032,2025-02-06,Damaged,9.83
R00021,O001292,P0200,2024-12-18,Damaged,4.07
R00022,O017840,P0390,2025-01-24,Wrong size,31.81
R00023,O016802,P0143,2025-12-02,Changed mind,109.11
R00024,O017818,P0255,2025-12-01,Damaged,19.13
R00025,O006746,P0369,2025-09-02,Not as described,84.27
R00026,O018592,P0112,2026-05-16,Wrong size,72.59
R00027,O017332,P0371,2026-01-29,Damaged,29.25
R00028,O009129,P0461,2026-05-04,Wrong size,68.5
R00029,O010464,P0473,2025-08-29,Wrong size,76.34
R00030,O006315,P0283,2025-01-17,Damaged,189.47
R00031,O017646,P0457,2024-07-22,Changed mind,79.32
R00032,O010139,P0371,2026-01-20,Not as described,72.25
R00033,O007869,P0333,2025-07-05,Late delivery,28.05
R00034,O004110,P0422,2025-07-24,Not as described,192.43
R00035,O019099,P0140,2026-06-27,Damaged,38.68
R00036,O004948,P0104,2026-06-07,Damaged,112.77
