review_id,customer_id,product_id,rating,review_date
V00000,C00528,P0420,4,2025-09-20
V00001,C00906,P0270,4,2024-12-01
V00002,C03599,P0284,3,2024-11-01
V00003,C03731,P0084,5,2024-10-14
V00004,C01377,P0363,5,2025-01-04
V00005,C00228,P0254,4,2026-04-25
V00006,C00090,P0044,5,2025-05-01
V00007,C03746,P0317,3,2026-06-15
V00008,C04602,P0412,5,2025-12-02
V00009,C00975,P0167,3,2025-04-17
V00010,C00185,P0218,5,2025-02-23
V00011,C00484,P0356,5,2026-01-21
V00012,C03068,P0458,4,2026-05-19
V00013,C04792,P0440,5,2025-06-08
V00014,C04819,P0390,4,2024-08-15
V00015,C02120,P0186,3,2026-05-06
V00016,C04747,P0332,3,2025-02-18
V00017,C02229,P0344,4,2025-07-17
V00018,C03446,P0367,3,2025-01-05
V00019,C03650,P0237,3,2026-06-05
V00020,C03661,P0340,5,2026-06-25
V00021,C04004,P0419,5,2024-08-25
V00022,C02226,P0398,5,2026-06-23
V00023,C03678,P0151,5,2026-04-06
V00024,C03289,P0342,4,2025-05-30
V00025,C00659,P0091,4,2026-03-11
V00026,C03696,P0286,5,2025-09-03
V00027,C02450,P0129,5,2024-09-14
V00028,C04082,P0039,4,2025-06-17
V00029,C04399,P0128,4,2025-10-12
V00030,C04306,P0264,3,2026-01-01
V00031,C03316,P0439,5,2025-05-19
V00032,C02392,P0155,2,2025-11-15
V00033,C03176,P0177,4,2024-12-02
V00034,C04128,P0120,5,2025-07-22
V00035,C03716,P0050,3,2024-08-21
V00036,C02194,P0356,4,2026-04-17
V00037,C02599,P0110,4,2025-09-05
V00038,C04880,P0233,5,2024-10-09
V00039,C01767,P0388,4,2025-01-16
V00040,C01992,P0387,5,2025-06-24
V00041,C04651,P0073,3,2025-07-26
V00042,C00316,P0366,4,2024-12-14
V00043,C03772,P0030,4,2026-01-24
V00044,C03263,P0279,5,2025-04-06
V00045,C03984,P0255,5,2026-04-30
V00046,C03080,P0119,5,2026-02-07
V00047,C02879,P0419,3,2025-06-20
V00048,C04969,P0367,4,2026-04-30
V00049,C00417,P0465,4,2026-02-21
V00050,C03832,P0021,5,2025-12-26
V00051,C00598,P0245,5,2025-01-15
V00052,C00627,P0166,4,2024-07-11
V00053,C01248,P0145,4,2024-11-19
V00054,C00953,P0392,5,2024-12-09
V00055,C03187,P0486,3,2026-02-20
V00056,C02842,P0272,5,2026-05-15
V00057,C04298,P0411,5,2026-05-24
V00058,C02780,P0347,5,2024-07-02
V00059,C04540,P0162,2,2025-08-30
V00060,C01682,P0471,4,2025-12-06
V00061,C03898,P0468,5,2024-08-20
V00062,C04019,P0304,3,2026-06-29
V00063,C00332,P0338,5,2024-09-28
V00064,C01103,P0357,5,2025-05-06
V00065,C01370,P0045,4,2024-07-28
V00066,C01659,P0279,3,2025-01-03
V00067,C03377,P0004,5,2026-06-29
V00068,C02423,P0089,1,2024-10-02
V00069,C00529,P0479,5,2024-10-19
V00070,C01772,P0363,4,2025-08-30
V00071,C00206,P0027,4,2024-10-04
V00072,C02003,P0484,5,2025-10-29
V00073,C04151,P0380,3,2024-08-17
V00074,C03794,P0099,4,2025-08-24
V00075,C04534,P0199,4,2025-04-04
V00076,C01853,P0497,5,2024-08-05
V00077,C04535,P0145,4,2024-09-14
V00078,C04895,P0233,5,2026-06-07
V00079,C03447,P0120,5,2025-03-16
V00080,C01827,P0199,4,2025-08-08
V00081,C02602,P0493,5,2024-09-23
