session_id,customer_id,session_date,channel,device,pages_viewed,added_to_cart,purchased
S000000,C01978,2025-12-13,Social,Mobile,4,False,False
S000001,C04624,2025-07-05,Referral,Desktop,5,False,False
S000002,C04910,2025-05-04,Email,Mobile,6,False,False
S000003,C03754,2025-11-14,Email,Desktop,6,False,False
S000004,C01057,2025-02-12,Social,Mobile,8,False,False
S000005,C00265,2026-05-12,Referral,Mobile,4,True,False
S000006,C02196,2025-11-02,Organic,Mobile,8,True,False
S000007,C04590,2024-12-17,Email,Desktop,3,False,False
S000008,C04144,2025-09-02,Organic,Desktop,6,False,False
S000009,C04160,2025-10-19,Email,Desktop,5,False,False
S000010,C01336,2025-04-07,Social,Mobile,6,True,False
S000011,C01153,2025-01-15,Email,Tablet,2,False,False
S000012,C03427,2024-12-12,Paid Search,Mobile,15,True,False
S000013,C01057,2026-02-28,Paid Search,Mobile,7,True,False
S000014,C03827,2024-07-03,Email,Mobile,4,True,False
S000015,C01250,2024-09-18,Email,Desktop,2,False,False
S000016,C01021,2025-05-18,Paid Search,Mobile,9,True,False
S000017,C00209,2025-11-29,Email,Mobile,4,False,False
S000018,C03103,2025-04-12,Social,Mobile,5,False,False
S000019,C02460,2026-01-20,Referral,Mobile,4,True,True
S000020,C04339,2024-11-09,Referral,Mobile,5,True,False
S000021,C00036,2025-01-12,Paid Search,Mobile,10,False,False
S000022,C04563,2025-08-01,Social,Mobile,7,False,False
S000023,C01510,2025-11-12,Referral,Mobile,8,True,False
S000024,C03136,2025-10-26,Email,Tablet,9,True,False
S000025,C01100,2025-02-27,Organic,Mobile,13,False,False
S000026,C03192,2024-08-09,Paid Search,Desktop,8,True,False
S000027,C01784,2024-12-15,Organic,Mobile,5,False,False
S000028,C01602,2025-09-12,Social,Mobile,5,False,False
S000029,C02072,2026-03-22,Paid Search,Mobile,8,False,False
S000030,C03999,2024-11-02,Social,Tablet,5,False,False
S000031,C02967,2026-06-19,Social,Mobile,4,True,False
S000032,C03072,2025-09-18,Social,Tablet,6,True,False
S000033,C01567,2024-12-13,Organic,Desktop,8,False,False
S000034,C01216,2024-08-16,Organic,Mobile,7,False,True
S000035,C04419,2025-07-09,Referral,Mobile,5,False,False
S000036,C00309,2026-03-05,Organic,Desktop,4,True,False
S000037,C01195,2025-11-22,Paid Search,Desktop,6,False,False
S000038,C03891,2024-10-07,Organic,Desktop,10,False,False
S000039,C04447,2024-07-12,Organic,Mobile,4,False,False
S000040,C01380,2026-03-13,Social,Mobile,6,True,False
S000041,C03471,2026-01-12,Referral,Mobile,4,False,False
S000042,C04570,2024-07-21,Social,Desktop,8,False,True
S000043,C03299,2025-06-30,Referral,Mobile,6,True,False
S000044,C00545,2025-03-29,Email,Mobile,6,False,False
S000045,C02947,2025-02-19,Social,Mobile,2,False,False
S000046,C01316,2024-07-22,Email,Desktop,4,False,False
